Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala;turno_tipo;necessita_sala;turma_ano;turma_num;turma_regime;sala_edificio;Dia_dt;num_sequencia;aula_id;Dia_iso
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL08;MEI-A1;39;Qui;14:30:00;16:00:00;24/11/2022;Sala Aulas Mestrado;C3.02;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;PL;True;1.0;1.0;Diurno;C;2022-11-24;3;00010PL08_24112022;2022-11-24
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL08;MEI-A1;39;Qui;13:00:00;14:30:00;24/11/2022;Sala Aulas Mestrado;C3.02;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;PL;True;1.0;1.0;Diurno;C;2022-11-24;4;00010PL08_24112022;2022-11-24
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL08;MEI-A1;39;Qua;14:30:00;16:00:00;14/12/2022;Sala Aulas Mestrado;C3.02;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;PL;True;1.0;1.0;Diurno;C;2022-12-14;5;00010PL08_14122022;2022-12-14
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL08;MEI-A1;39;Qua;13:00:00;14:30:00;14/12/2022;Sala Aulas Mestrado;C3.02;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;PL;True;1.0;1.0;Diurno;C;2022-12-14;6;00010PL08_14122022;2022-12-14
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL08;MEI-A1;39;Qui;14:30:00;16:00:00;15/12/2022;Sala Aulas Mestrado;C3.02;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;PL;True;1.0;1.0;Diurno;C;2022-12-15;7;00010PL08_15122022;2022-12-15
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL08;MEI-A1;39;Qui;13:00:00;14:30:00;15/12/2022;Sala Aulas Mestrado;C3.02;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;PL;True;1.0;1.0;Diurno;C;2022-12-15;8;00010PL08_15122022;2022-12-15
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL10;MEI-PL-A1;50;Qui;19:30:00;21:00:00;17/11/2022;Sala Aulas Mestrado;AA2.29;50.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Pos-Laboral;AA;2022-11-17;1;00010PL10_17112022;2022-11-17
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL10;MEI-PL-A1;50;Qui;18:00:00;19:30:00;17/11/2022;Sala Aulas Mestrado;AA2.29;50.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Pos-Laboral;AA;2022-11-17;2;00010PL10_17112022;2022-11-17
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL10;MEI-PL-A1;50;Qui;19:30:00;21:00:00;24/11/2022;Sala Aulas Mestrado;AA2.29;50.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Pos-Laboral;AA;2022-11-24;3;00010PL10_24112022;2022-11-24
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL10;MEI-PL-A1;50;Qui;18:00:00;19:30:00;24/11/2022;Sala Aulas Mestrado;AA2.29;50.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Pos-Laboral;AA;2022-11-24;4;00010PL10_24112022;2022-11-24
