Curso;Unidade de execução;Turno;Professor;Turma;Inscritos no turno;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Características reais da sala;Edifício;Capacidade Normal;Capacidade Exame;Nº características;Anfiteatro aulas;Apoio técnico eventos;Arq 1;Arq 2;Arq 3;Arq 4;Arq 5;Arq 6;Arq 9;BYOD (Bring Your Own Device);Focus Group;Horário sala visível portal público;Laboratório de Arquitectura de Computadores I;Laboratório de Arquitectura de Computadores II;Laboratório de Bases de Engenharia;Laboratório de Electrónica;Laboratório de Informática;Laboratório de Jornalismo;Laboratório de Redes de Computadores I;Laboratório de Redes de Computadores II;Laboratório de Telecomunicações;Sala Aulas Mestrado;Sala Aulas Mestrado Plus;Sala NEE;Sala Provas;Sala Reunião;Sala de Arquitectura;Sala de Aulas normal;videoconferencia;Átrio
ME;Teoria dos Jogos e dos Contratos;01789TP01;António Câmara;MEA1;30;Seg;14:30:00;16:00:00;28/11/2022;Sala Aulas Mestrado;AA2.25;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
ME;Teoria dos Jogos e dos Contratos;01789TP01;António Câmara;MEA1;30;Seg;14:30:00;16:00:00;21/11/2022;Sala Aulas Mestrado;AA2.25;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
ME;Teoria dos Jogos e dos Contratos;01789TP01;António Câmara;MEA1;30;Seg;14:30:00;16:00:00;14/11/2022;Sala Aulas Mestrado;AA2.25;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
ME;Teoria dos Jogos e dos Contratos;01789TP01;António Câmara;MEA1;30;Seg;14:30:00;16:00:00;07/11/2022;Sala Aulas Mestrado;AA2.25;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;José Dias Curto;DHMCMG1;0;Seg;18:00:00;20:00:00;12/12/2022;Sala Aulas Mestrado;AA3.24;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);28;16;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;José Dias Curto;DHMCMG1;0;Seg;18:00:00;20:00:00;05/12/2022;Sala Aulas Mestrado;AA3.24;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);28;16;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;José Dias Curto;DHMCMG1;0;Seg;18:00:00;20:00:00;28/11/2022;Não necessita de sala;AA3.24;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);28;16;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;José Dias Curto;DHMCMG1;0;Seg;18:00:00;20:00:00;21/11/2022;Não necessita de sala;AA3.24;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);28;16;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;José Dias Curto;DHMCMG1;0;Seg;18:00:00;20:00:00;14/11/2022;Sala Aulas Mestrado;AA3.24;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);28;16;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;José Dias Curto;DHMCMG1;0;Seg;18:00:00;20:00:00;07/11/2022;Sala Aulas Mestrado;AA2.23;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);50;23;5;;;;;;;;;;;;X;;;;;;;;;;X;X;X;;;;X;;
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;José Dias Curto;DHMCMG1;0;Seg;18:00:00;20:00:00;31/10/2022;Sala Aulas Mestrado;AA2.23;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);50;23;5;;;;;;;;;;;;X;;;;;;;;;;X;X;X;;;;X;;
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;José Dias Curto;DHMCMG1;0;Seg;18:00:00;20:00:00;24/10/2022;Sala Aulas Mestrado;AA2.23;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);50;23;5;;;;;;;;;;;;X;;;;;;;;;;X;X;X;;;;X;;
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;José Dias Curto;DHMCMG1;0;Seg;18:00:00;20:00:00;17/10/2022;Sala Aulas Mestrado;AA3.24;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);28;16;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;José Dias Curto;DHMCMG1;0;Seg;18:00:00;20:00:00;10/10/2022;Sala Aulas Mestrado;AA3.24;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);28;16;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;José Dias Curto;DHMCMG1;0;Seg;18:00:00;20:00:00;03/10/2022;Sala Aulas Mestrado;AA2.28;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);30;19;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;José Dias Curto;DHMCMG1;0;Seg;18:00:00;20:00:00;26/09/2022;Sala Aulas Mestrado;AA2.26;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;19;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
LP;Competências Académicas I;L5205PL05;Emílio Rui Vilar;PA3;23;Qua;11:00:00;12:30:00;14/12/2022;Sala/anfiteatro aulas;2,00E+07;Sala/anfiteatro aulas, Horário sala visível portal público;Edifício Sedas Nunes (ISCTE-IUL);50;25;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
